time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.74868238261e-08,-1.85478742104e-08,10.0043885521,6.28316163772,8.39208247365e-05,0.0,-7.30033726127e-06,-1.89367765587e-06,0.146276815105,-0.00119545376985,0.00405896708394,0.0,450.56317140056086,450.8911191716311,452.0087428646733,451.91241944374235
0.12000000000000001,-4.34723165667e-06,-8.74709103965e-07,10.0141533725,6.28276816265,0.00136768436884,0.0,-0.000217133719488,-4.52508723443e-05,0.179212236652,-0.020336160994,0.0432615370524,0.0,413.4803781260961,416.9192104124164,415.8477117114464,414.1680364597744
0.18,-7.25195599928e-05,-2.26187865981e-05,10.0369432403,6.28160361103,0.00414937369131,0.0,-0.00245015917244,-0.000854193521577,0.58033332365,-0.0176169996766,0.0519330004061,0.0,525.0863840438815,525.6884041929566,522.2719234263067,522.4616102113004
0.23999999999999996,-0.000324106203462,-0.000113085462329,10.0762357282,6.28066968021,0.00724140050529,0.0,-0.00627482692135,-0.00226966409884,0.729330581154,-0.0117496077477,0.050723443468,0.0,452.2417606829946,452.14599591570897,452.67779458499336,453.1497242890065
0.3,-0.000873979737076,-0.00030681386457,10.124528469,6.28074723102,0.0104619502835,0.0,-0.0123972211356,-0.00421322654024,0.880319990885,0.0193288177388,0.0590067139082,0.0,452.92880862231686,453.5962388126448,452.21242784315234,454.7086438790285
0.36000000000000004,-0.00186259369194,-0.000608627209269,10.1816967155,6.28163692812,0.0135580081961,0.0,-0.0209235979906,-0.00573344307461,1.02516508597,0.00382431081852,0.0295802865619,0.0,452.767016188405,450.3951701039105,452.4829600179487,451.233121158036
0.4200000000000001,-0.00335912704564,-0.000978854049011,10.2429135202,6.28159372263,0.0152573510997,0.0,-0.0291100627569,-0.00659771946674,1.01540165562,-0.0118593430135,0.0256802516005,0.0,401.82765976735067,401.47430668634235,402.40831812255027,400.98627302722696
0.48000000000000015,-0.00544363633793,-0.00141219974418,10.3079231468,6.28050645106,0.0165116989705,0.0,-0.0405241328632,-0.00793858769826,1.15145567988,-0.0351730137602,0.00905434343878,0.0,449.476382710496,448.12710215624605,450.6791761598039,448.7910836217138
0.5400000000000001,-0.00821416104382,-0.00195095543629,10.3797093624,6.27845366009,0.0177063479519,0.0,-0.0519184889342,-0.010228773018,1.24132206339,-0.0323598713114,0.0357041179273,0.0,434.3880576199855,436.61688382176277,434.4678411478896,434.7030970210795
0.6000000000000002,-0.0116949870473,-0.00266738927292,10.456710548,6.27655223416,0.0201501655107,0.0,-0.0643374066884,-0.0138432508739,1.32528459449,-0.0303843301557,0.0492509230411,0.0,432.706760577649,433.8464559100868,433.3863710883971,433.5519801934129
0.6600000000000003,-0.0160242607124,-0.0036552516451,10.5411937034,6.2750859467,0.0235845714591,0.0,-0.0803282989039,-0.0192653794843,1.49060998615,-0.0146184354163,0.0697210378069,0.0,458.1064536215565,459.7331674099462,458.34331541432994,459.59437154368476
0.7200000000000003,-0.0213898388607,-0.00499619961192,10.6353581704,6.27390088418,0.0280837302138,0.0,-0.0990006940464,-0.0255419031494,1.64797792336,-0.0327568480432,0.0838475218975,0.0,457.5990576044581,458.72626715745855,456.5312718606469,455.081830970979
0.7800000000000004,-0.0280226413084,-0.00675898121401,10.7404459222,6.27195342363,0.0328102800952,0.0,-0.122661517952,-0.0334446903129,1.85461404646,-0.0318660585773,0.0659788234404,0.0,471.676865814669,470.29947246164306,473.43354802494434,473.5017504418698
0.8400000000000004,-0.0361218068018,-0.00902104412591,10.856098592,6.26989684822,0.0365422321511,0.0,-0.147722355497,-0.0421696208861,2.00021255445,-0.03959311763,0.0533053355757,0.0,455.7094261186563,454.69797329491615,454.30229160772,453.6818666550372
0.9000000000000005,-0.0458418330772,-0.0118670087745,10.9814597771,6.26709383194,0.040729015269,0.0,-0.176699453657,-0.0529777851757,2.1781484085,-0.0674033585341,0.0909234565485,0.0,462.20254681367476,465.16077612075117,467.2988872258291,465.12469020785755
0.9600000000000005,-0.0572340446112,-0.0153642369208,11.1134021717,6.26271409755,0.0461794116886,0.0,-0.203547055022,-0.0639847705622,2.21981905014,-0.0875570998614,0.0906725037399,0.0,423.3187961006436,423.30457520698735,423.44077494712553,421.6988897002755
1.0200000000000005,-0.0705044711055,-0.0196834218806,11.2513155291,6.25736644021,0.0516318758064,0.0,-0.239387659621,-0.0805656858952,2.37693192971,-0.0924672908899,0.0912748875834,0.0,459.8100232528816,459.8643647958405,459.69292772908426,459.2973341875109
1.0800000000000005,-0.0859257235292,-0.0250553752908,11.3963173024,6.25132677482,0.0577589870912,0.0,-0.275225719224,-0.0990572494346,2.45623957047,-0.12692251595,0.117888978651,0.0,435.09077354943145,437.32212578177194,437.66252614066667,434.7756583427292
1.1400000000000006,-0.103549443407,-0.0316229228667,11.5447840551,6.24342992856,0.0647727945978,0.0,-0.312879785816,-0.120572592563,2.49250067622,-0.143190970041,0.114836721496,0.0,423.1060465672506,422.85619332415115,423.19249773532033,421.77271605884647
1.2000000000000006,-0.123775321808,-0.0397646060759,11.6986112069,6.23495533508,0.0716673933325,0.0,-0.36204213026,-0.151724149224,2.63465130765,-0.137611494225,0.115055957619,0.0,457.0514967520061,457.0803564115783,456.1770963913287,456.6043910550993
